,Weight_in_gms,Cost_of_the_Product,Discount_offered,Warehouse_block_D,Warehouse_block_B,Warehouse_block_A,Product_importance,Prior_purchases,Mode_of_Shipment,Customer_care_calls,Gender,Target
1094,0.29948867786705624,0.4158878504672897,0.03333333333333334,0.0,0.0,1.0,1.0,0.16666666666666669,0.0,0.2,1.0,1
10053,0.6451424397370343,0.8130841121495326,0.15,0.0,1.0,0.0,1.0,0.16666666666666669,1.0,0.2,0.0,0
2724,0.3066471877282688,0.6121495327102803,0.06666666666666667,1.0,0.0,0.0,0.5,0.16666666666666669,0.5,0.4,1.0,1
8792,0.6607742878013149,0.2990654205607477,0.06666666666666667,0.0,0.0,1.0,1.0,0.16666666666666669,1.0,0.2,0.0,0
4358,0.689554419284149,0.49065420560747663,0.13333333333333333,0.0,0.0,1.0,1.0,0.3333333333333333,0.5,0.2,0.0,1
3439,0.5726807888970051,0.7616822429906541,0.15,0.0,0.0,0.0,1.0,0.16666666666666669,0.0,0.4,1.0,1
8841,0.017092768444119805,0.8084112149532711,0.05,0.0,1.0,0.0,1.0,0.3333333333333333,1.0,1.0,1.0,1
4931,0.46413440467494527,0.5093457943925234,0.15,0.0,0.0,0.0,1.0,0.0,0.0,0.4,1.0,1
9414,0.1268078889700511,0.9579439252336449,0.15,1.0,0.0,0.0,0.5,0.3333333333333333,1.0,1.0,1.0,0
7278,0.7195032870708546,0.5046728971962616,0.08333333333333334,1.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.2,0.0,1
8433,0.5742878013148284,0.7476635514018691,0.0,0.0,1.0,0.0,0.5,0.16666666666666669,1.0,0.2,1.0,0
5749,0.4569758948137327,0.3878504672897196,0.06666666666666667,0.0,0.0,0.0,0.0,0.16666666666666669,0.0,0.4,1.0,0
296,0.3864134404674945,0.40654205607476634,0.18333333333333335,0.0,0.0,1.0,1.0,0.16666666666666669,1.0,0.4,0.0,1
9195,0.06428049671292915,0.6542056074766355,0.11666666666666667,0.0,1.0,0.0,0.5,0.49999999999999994,0.0,0.6000000000000001,1.0,0
1406,0.018845872899926952,0.26635514018691586,0.1,0.0,0.0,1.0,0.5,0.3333333333333333,1.0,0.4,1.0,1
4765,0.7192111029948868,0.20560747663551404,0.05,0.0,0.0,0.0,0.5,0.16666666666666669,1.0,0.4,0.0,1
7971,0.623082542001461,0.5233644859813084,0.08333333333333334,0.0,1.0,0.0,0.5,0.0,1.0,0.4,1.0,0
10177,0.04236669101533966,0.8785046728971962,0.03333333333333334,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,0.8,0.0,0
7538,0.49715120525931333,0.26635514018691586,0.13333333333333333,0.0,0.0,1.0,0.5,0.16666666666666669,0.0,0.2,1.0,0
2235,0.043243243243243246,0.383177570093458,0.5833333333333333,0.0,1.0,0.0,0.0,0.16666666666666669,1.0,0.2,0.0,1
1772,0.17238860482103727,0.5046728971962616,0.6499999999999999,0.0,0.0,1.0,0.5,0.0,0.5,0.6000000000000001,1.0,1
4342,0.6951059167275383,0.6682242990654205,0.06666666666666667,0.0,0.0,0.0,0.5,0.0,1.0,0.6000000000000001,1.0,1
170,0.1843681519357195,0.4158878504672897,0.15,0.0,0.0,1.0,1.0,0.16666666666666669,1.0,0.4,0.0,1
8889,0.06369612856099341,0.9439252336448597,0.11666666666666667,0.0,1.0,0.0,1.0,0.3333333333333333,0.5,0.8,0.0,1
8655,0.09525200876552228,0.6962616822429907,0.05,0.0,1.0,0.0,1.0,0.3333333333333333,1.0,1.0,1.0,1
1035,0.17589481373265156,0.7336448598130841,0.26666666666666666,0.0,1.0,0.0,1.0,0.0,1.0,0.2,1.0,1
9187,0.08707085463842221,0.8271028037383178,0.05,0.0,0.0,0.0,1.0,0.49999999999999994,0.0,0.6000000000000001,1.0,1
6420,0.6295105916727538,0.397196261682243,0.0,1.0,0.0,0.0,1.0,0.16666666666666669,0.5,0.4,1.0,0
8709,0.4588750913075238,0.6915887850467289,0.13333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,0.2,0.0,0
5865,0.6344777209642074,0.7616822429906541,0.05,0.0,1.0,0.0,1.0,0.16666666666666669,0.5,0.4,1.0,1
8908,0.01607012417823228,0.9065420560747662,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.8,1.0,0
4545,0.11322132943754562,0.7196261682242991,0.11666666666666667,0.0,1.0,0.0,1.0,0.49999999999999994,1.0,1.0,1.0,0
7676,0.05507669831994155,0.7990654205607476,0.13333333333333333,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,1
10632,0.595763330898466,0.8271028037383178,0.03333333333333334,1.0,0.0,0.0,0.5,0.3333333333333333,1.0,0.0,1.0,0
1998,0.06325785244704163,0.33644859813084116,0.5666666666666667,1.0,0.0,0.0,0.5,0.16666666666666669,1.0,0.4,0.0,1
1880,0.2807888970051132,0.7990654205607476,0.8999999999999999,0.0,0.0,1.0,0.5,0.16666666666666669,1.0,0.2,0.0,1
10358,0.4745069393718042,0.7897196261682243,0.05,0.0,0.0,1.0,0.5,0.16666666666666669,1.0,0.4,0.0,0
6649,0.6685171658144631,0.2757009345794392,0.06666666666666667,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.0,0
2593,0.06778670562454345,0.20560747663551404,0.6833333333333332,0.0,0.0,0.0,0.5,0.16666666666666669,0.5,0.2,0.0,1
2778,0.3674214755295836,0.602803738317757,0.26666666666666666,1.0,0.0,0.0,1.0,0.8333333333333333,1.0,0.6000000000000001,0.0,1
8328,0.10474799123447773,0.616822429906542,0.08333333333333334,1.0,0.0,0.0,0.5,0.49999999999999994,1.0,0.4,1.0,0
3841,0.6555149744338934,0.31775700934579443,0.016666666666666666,0.0,0.0,0.0,1.0,0.16666666666666669,0.0,0.2,1.0,0
4587,0.6745069393718043,0.2289719626168224,0.03333333333333334,0.0,1.0,0.0,0.5,0.16666666666666669,1.0,0.4,1.0,1
10988,0.12111029948867788,0.44859813084112143,0.016666666666666666,0.0,0.0,1.0,0.5,0.3333333333333333,1.0,0.4,0.0,0
5811,0.5119065010956902,0.883177570093458,0.016666666666666666,0.0,1.0,0.0,0.5,0.0,1.0,0.6000000000000001,1.0,1
8497,0.5662527392257122,0.7850467289719626,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.2,1.0,0
4307,0.623082542001461,0.18224299065420557,0.08333333333333334,0.0,0.0,0.0,1.0,0.16666666666666669,1.0,0.4,0.0,1
8879,0.04514243973703433,0.6682242990654205,0.08333333333333334,0.0,0.0,0.0,1.0,0.49999999999999994,0.5,0.6000000000000001,0.0,1
10352,0.5129291453615777,0.5514018691588785,0.13333333333333333,0.0,0.0,1.0,1.0,0.0,1.0,0.2,0.0,0
8736,0.6823959094229365,0.6214953271028038,0.13333333333333333,1.0,0.0,0.0,0.5,0.0,1.0,0.4,0.0,1
8579,0.6014609203798393,0.397196261682243,0.03333333333333334,0.0,0.0,0.0,0.5,0.16666666666666669,1.0,0.6000000000000001,0.0,0
7885,0.6305332359386413,0.2009345794392523,0.1,0.0,0.0,0.0,0.5,0.16666666666666669,1.0,0.4,0.0,0
1875,0.3060628195763331,0.7336448598130841,0.95,0.0,1.0,0.0,0.5,0.16666666666666669,1.0,0.4,0.0,1
1745,0.008181154127100077,0.23831775700934577,0.26666666666666666,0.0,0.0,0.0,0.5,0.0,1.0,0.4,1.0,1
8472,0.6783053323593864,0.6121495327102803,0.03333333333333334,1.0,0.0,0.0,1.0,0.16666666666666669,0.5,0.2,1.0,0
6472,0.6539079620160702,0.8130841121495326,0.1,0.0,0.0,0.0,1.0,0.16666666666666669,1.0,0.2,1.0,1
6381,0.5794010226442659,0.8177570093457943,0.13333333333333333,0.0,1.0,0.0,1.0,0.0,1.0,0.4,1.0,1
2607,0.16771365960555148,0.5700934579439253,0.85,0.0,1.0,0.0,1.0,0.16666666666666669,0.0,0.2,0.0,1
9157,0.11833455076698321,0.8925233644859812,0.15,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.8,0.0,1
8894,0.07027027027027027,0.7336448598130841,0.05,0.0,0.0,1.0,0.5,0.49999999999999994,0.5,0.6000000000000001,0.0,0
10947,0.021037253469685907,0.6355140186915887,0.13333333333333333,0.0,1.0,0.0,1.0,0.49999999999999994,0.5,0.4,1.0,0
6482,0.5850986121256392,0.37850467289719625,0.11666666666666667,0.0,0.0,1.0,1.0,0.16666666666666669,1.0,0.2,1.0,1
1497,0.12447041636230824,0.39252336448598135,0.8666666666666666,0.0,1.0,0.0,0.5,0.0,0.5,0.2,1.0,1
8633,0.13425858290723156,0.6495327102803737,0.15,0.0,0.0,0.0,0.5,0.49999999999999994,0.0,0.6000000000000001,0.0,0
9220,0.6179693206720234,0.28037383177570097,0.08333333333333334,0.0,0.0,0.0,0.5,0.16666666666666669,1.0,0.6000000000000001,0.0,1
9681,0.12490869247626005,0.6355140186915887,0.13333333333333333,0.0,1.0,0.0,0.5,0.49999999999999994,1.0,0.4,0.0,0
6104,0.7275383491599707,0.35046728971962615,0.06666666666666667,0.0,0.0,1.0,1.0,0.6666666666666667,1.0,0.6000000000000001,0.0,1
7668,0.0972972972972973,0.8084112149532711,0.03333333333333334,1.0,0.0,0.0,0.5,0.49999999999999994,0.0,0.6000000000000001,0.0,1
7598,0.45054784514243973,0.3878504672897196,0.016666666666666666,0.0,0.0,1.0,1.0,0.0,1.0,0.2,1.0,0
914,0.35909422936449964,0.7429906542056074,0.6833333333333332,0.0,0.0,1.0,1.0,0.0,1.0,0.2,1.0,1
8967,0.5637691745799854,0.663551401869159,0.15,0.0,1.0,0.0,1.0,0.3333333333333333,1.0,0.4,0.0,0
9516,0.656245434623813,0.3411214953271028,0.11666666666666667,1.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.4,0.0,0
7465,0.11979547114682251,0.6495327102803737,0.13333333333333333,0.0,0.0,0.0,0.5,0.49999999999999994,1.0,0.4,1.0,1
273,0.32111029948867786,0.40654205607476634,0.85,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
8986,0.6385682980277575,0.23364485981308414,0.15,0.0,0.0,0.0,1.0,0.16666666666666669,1.0,0.4,0.0,0
506,0.061358655953250546,0.2757009345794392,0.5666666666666667,0.0,0.0,1.0,1.0,0.16666666666666669,1.0,0.4,0.0,1
2158,0.10562454346238129,0.2850467289719626,0.23333333333333334,0.0,0.0,0.0,1.0,0.0,1.0,0.4,1.0,1
1597,0.10314097881665449,0.042056074766355145,0.8833333333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
9755,0.5910883856829803,0.3691588785046729,0.1,0.0,0.0,0.0,1.0,0.16666666666666669,1.0,0.6000000000000001,0.0,1
1452,0.13455076698319943,0.21962616822429903,0.7833333333333333,1.0,0.0,0.0,0.5,0.16666666666666669,1.0,0.4,0.0,1
4785,0.6052593133674214,0.5373831775700935,0.0,0.0,1.0,0.0,0.0,0.16666666666666669,0.5,0.2,1.0,0
3470,0.5627465303140978,0.05140186915887851,0.016666666666666666,0.0,0.0,1.0,1.0,0.16666666666666669,1.0,0.0,1.0,0
1471,0.3915266617969321,0.6869158878504672,0.05,0.0,0.0,0.0,1.0,0.0,1.0,0.6000000000000001,0.0,1
8862,0.048940832724616495,0.6682242990654205,0.08333333333333334,1.0,0.0,0.0,0.5,0.49999999999999994,1.0,0.4,1.0,0
4482,0.693644996347699,0.35046728971962615,0.0,1.0,0.0,0.0,1.0,0.49999999999999994,1.0,0.6000000000000001,1.0,0
9960,0.03155588020452885,0.7383177570093459,0.15,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.8,0.0,0
10665,0.021183345507669843,0.677570093457944,0.0,0.0,1.0,0.0,0.5,0.49999999999999994,0.5,0.6000000000000001,0.0,0
5187,0.6105186267348429,0.7523364485981309,0.15,0.0,1.0,0.0,1.0,0.3333333333333333,0.5,0.6000000000000001,1.0,1
3020,0.21738495252008763,0.7336448598130841,0.9333333333333332,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.2,0.0,1
10377,0.6149013878743609,0.32242990654205606,0.016666666666666666,0.0,1.0,0.0,0.5,0.0,1.0,0.4,1.0,0
8657,0.1452154857560263,0.7289719626168224,0.016666666666666666,0.0,0.0,0.0,1.0,0.49999999999999994,1.0,0.4,1.0,1
3107,0.2711468224981738,0.5467289719626168,0.6333333333333333,0.0,0.0,0.0,0.5,0.0,1.0,0.2,0.0,1
5593,0.44163623082542003,0.39252336448598135,0.15,0.0,0.0,0.0,0.0,0.0,0.5,0.2,1.0,0
2429,0.11453615777940104,0.21962616822429903,0.95,0.0,0.0,0.0,0.5,0.16666666666666669,1.0,0.2,0.0,1
6942,0.4898466033601169,0.4158878504672897,0.15,1.0,0.0,0.0,0.5,0.16666666666666669,1.0,0.6000000000000001,1.0,0
5460,0.0699780861943024,0.8644859813084113,0.05,1.0,0.0,0.0,0.5,0.3333333333333333,0.5,1.0,0.0,0
4017,0.49510591672753834,0.2570093457943925,0.11666666666666667,0.0,1.0,0.0,1.0,0.16666666666666669,1.0,0.4,1.0,1
8612,0.11190650109569025,0.6822429906542057,0.13333333333333333,0.0,0.0,1.0,0.5,0.49999999999999994,0.5,0.6000000000000001,1.0,0
10828,0.4876552227903579,0.44859813084112143,0.05,0.0,0.0,0.0,0.0,0.16666666666666669,0.0,0.2,0.0,1
2187,0.05346968590211834,0.2757009345794392,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,0.0,0.4,1.0,1
3957,0.5294375456537619,0.7196261682242991,0.06666666666666667,0.0,1.0,0.0,0.5,0.16666666666666669,0.5,0.2,0.0,0
964,0.09948867786705623,0.911214953271028,0.8666666666666666,0.0,0.0,0.0,1.0,0.49999999999999994,0.0,0.8,0.0,1
7010,0.6111029948867787,0.7149532710280374,0.15,0.0,0.0,1.0,0.5,0.16666666666666669,1.0,0.2,1.0,0
2398,0.4189919649379109,0.46261682242990654,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.8,1.0,1
9676,0.112490869247626,0.7616822429906541,0.06666666666666667,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,0.8,1.0,1
1026,0.050840029218407606,0.19626168224299068,0.11666666666666667,1.0,0.0,0.0,1.0,0.49999999999999994,1.0,0.2,0.0,1
8047,0.064572680788897,0.9579439252336449,0.11666666666666667,0.0,0.0,0.0,0.5,0.49999999999999994,1.0,0.8,1.0,0
5349,0.4717311906501096,0.7383177570093459,0.15,0.0,1.0,0.0,0.5,0.0,0.0,0.4,1.0,1
6309,0.011102994886778683,0.7242990654205607,0.05,0.0,1.0,0.0,1.0,0.6666666666666667,0.0,0.6000000000000001,1.0,0
3401,0.48035062089116143,0.3317757009345794,0.1,0.0,0.0,0.0,0.5,0.0,0.5,0.4,0.0,1
1070,0.32227903579254924,0.7196261682242991,0.9999999999999999,0.0,0.0,1.0,0.0,0.0,0.5,0.2,1.0,1
7434,0.6210372534696859,0.35046728971962615,0.13333333333333333,1.0,0.0,0.0,0.5,0.0,1.0,0.6000000000000001,1.0,0
3427,0.5552958363769175,0.2429906542056075,0.08333333333333334,0.0,0.0,0.0,1.0,0.49999999999999994,0.0,0.4,0.0,0
2525,0.07041636230825418,0.28037383177570097,0.6333333333333333,0.0,0.0,0.0,0.5,0.16666666666666669,1.0,0.4,1.0,1
1317,0.021037253469685907,0.0700934579439253,0.11666666666666667,0.0,1.0,0.0,0.5,0.6666666666666667,1.0,0.4,1.0,1
2637,0.2251278305332359,0.7383177570093459,0.5333333333333333,0.0,1.0,0.0,0.5,0.3333333333333333,1.0,0.2,0.0,1
7335,0.5754565376186997,0.5560747663551401,0.13333333333333333,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.0,0
992,0.07991234477720963,0.1869158878504673,0.13333333333333333,0.0,0.0,1.0,1.0,0.16666666666666669,1.0,0.4,1.0,1
3192,0.4927684441197955,0.8271028037383178,0.016666666666666666,1.0,0.0,0.0,1.0,0.16666666666666669,1.0,0.4,1.0,0
48,0.402045288531775,0.4392523364485982,0.13333333333333333,1.0,0.0,0.0,1.0,0.0,1.0,0.6000000000000001,1.0,1
1752,0.18363769174579983,0.44859813084112143,0.5666666666666667,1.0,0.0,0.0,1.0,0.16666666666666669,1.0,0.2,1.0,1
5542,0.6347699050401753,0.2149532710280374,0.1,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.0,0
1615,0.26574141709276844,0.47663551401869153,0.8333333333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.4,1.0,1
9721,0.5669831994156318,0.3878504672897196,0.06666666666666667,0.0,0.0,0.0,0.5,0.0,0.5,0.2,1.0,1
381,0.2752373995617239,0.48130841121495327,0.9666666666666666,0.0,1.0,0.0,0.5,0.3333333333333333,1.0,0.6000000000000001,0.0,1
9615,0.46325785244704165,0.47663551401869153,0.03333333333333334,0.0,1.0,0.0,0.5,0.3333333333333333,1.0,0.2,0.0,1
7295,0.623082542001461,0.7289719626168224,0.08333333333333334,0.0,0.0,0.0,0.5,0.0,1.0,0.4,1.0,1
10349,0.6262965668371073,0.4158878504672897,0.016666666666666666,0.0,0.0,0.0,0.5,0.16666666666666669,1.0,0.4,0.0,1
7627,0.4926223520818115,0.5934579439252335,0.06666666666666667,0.0,0.0,0.0,0.5,0.16666666666666669,1.0,0.6000000000000001,1.0,1
6492,0.11482834185536886,0.9532710280373832,0.15,1.0,0.0,0.0,0.5,0.49999999999999994,1.0,0.8,0.0,0
593,0.31745799853907963,0.4859813084112149,0.7499999999999999,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.0,1
6687,0.5928414901387874,0.5841121495327103,0.08333333333333334,0.0,1.0,0.0,0.5,0.49999999999999994,0.5,0.6000000000000001,1.0,0
1750,0.08502556610664719,0.2149532710280374,0.05,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,0.2,1.0,1
6015,0.05157048940832723,0.6121495327102803,0.1,0.0,1.0,0.0,0.5,0.49999999999999994,0.5,0.4,1.0,1
5461,0.10971512052593133,0.7476635514018691,0.016666666666666666,0.0,0.0,0.0,0.5,0.3333333333333333,0.5,0.8,0.0,1
7809,0.6118334550766983,0.6261682242990655,0.05,0.0,1.0,0.0,0.0,0.16666666666666669,0.0,0.2,1.0,1
5966,0.027173119065010964,0.8130841121495326,0.0,0.0,0.0,1.0,0.5,0.49999999999999994,1.0,0.4,0.0,1
6095,0.47100073046019,0.46261682242990654,0.15,0.0,0.0,0.0,0.0,0.49999999999999994,1.0,0.8,0.0,0
10980,0.09466764061358657,0.7710280373831776,0.05,1.0,0.0,0.0,0.5,0.49999999999999994,1.0,0.4,0.0,1
3102,0.2553688823959094,0.6121495327102803,0.38333333333333336,1.0,0.0,0.0,1.0,0.0,1.0,0.2,0.0,1
9133,0.057852447041636224,0.8130841121495326,0.15,0.0,0.0,0.0,1.0,0.49999999999999994,1.0,0.6000000000000001,1.0,0
9618,0.7268078889700511,0.44859813084112143,0.15,1.0,0.0,0.0,1.0,0.8333333333333333,1.0,0.6000000000000001,1.0,0
8281,0.6198685171658145,0.7476635514018691,0.11666666666666667,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,0.4,0.0,1
2791,0.25668371073776475,0.4532710280373832,0.8999999999999999,0.0,0.0,0.0,0.5,0.16666666666666669,1.0,0.6000000000000001,1.0,1
1534,0.0029218407596786067,0.3411214953271028,0.31666666666666665,0.0,0.0,0.0,0.5,0.0,1.0,0.2,0.0,1
8038,0.14097881665449233,0.9579439252336449,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,1.0,1.0,1
8680,0.522863403944485,0.19158878504672894,0.13333333333333333,0.0,0.0,0.0,0.5,0.0,1.0,0.6000000000000001,1.0,1
3216,0.6915997078159241,0.2710280373831776,0.06666666666666667,1.0,0.0,0.0,1.0,0.0,1.0,0.2,1.0,1
6500,0.09627465303140978,0.7242990654205607,0.03333333333333334,0.0,0.0,1.0,1.0,0.3333333333333333,1.0,0.8,0.0,0
7066,0.6840029218407596,0.5327102803738317,0.05,0.0,0.0,0.0,1.0,0.16666666666666669,1.0,0.2,1.0,0
5201,0.6303871439006574,0.3738317757009346,0.06666666666666667,0.0,0.0,0.0,0.5,0.16666666666666669,0.0,0.2,1.0,1
1006,0.2632578524470416,0.4158878504672897,0.6833333333333332,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.0,1
4912,0.5630387143900657,0.4532710280373832,0.08333333333333334,0.0,0.0,0.0,0.5,0.0,0.5,0.4,0.0,1
6286,0.10036523009495982,0.7850467289719626,0.08333333333333334,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,1.0,1.0,0
1050,0.12943754565376184,0.17757009345794394,0.8666666666666666,1.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.2,1.0,1
857,0.21490138787436083,0.6682242990654205,0.38333333333333336,0.0,0.0,0.0,1.0,0.49999999999999994,1.0,0.6000000000000001,1.0,1
10844,0.7273922571219869,0.25233644859813087,0.1,0.0,0.0,1.0,1.0,0.16666666666666669,1.0,0.6000000000000001,0.0,0
1149,0.20014609203798392,0.4532710280373832,0.7833333333333333,0.0,1.0,0.0,0.0,0.0,1.0,0.4,0.0,1
4740,0.4619430241051863,0.22429906542056077,0.08333333333333334,1.0,0.0,0.0,1.0,0.16666666666666669,1.0,0.2,0.0,0
7003,0.5554419284149014,0.5233644859813084,0.0,0.0,0.0,0.0,0.5,0.16666666666666669,0.0,0.2,1.0,0
1312,0.041197954711468227,0.2009345794392523,0.36666666666666664,0.0,0.0,0.0,1.0,0.16666666666666669,1.0,0.0,0.0,1
1861,0.4143170197224252,0.7476635514018691,0.8166666666666667,0.0,0.0,0.0,0.5,0.8333333333333333,1.0,0.6000000000000001,0.0,1
4493,0.5531044558071585,0.5747663551401868,0.1,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,0.6000000000000001,0.0,1
2102,0.0689554419284149,0.31775700934579443,0.9999999999999999,0.0,0.0,1.0,0.5,0.16666666666666669,1.0,0.2,1.0,1
1432,0.11570489408327247,0.6214953271028038,0.7,0.0,0.0,0.0,0.5,0.16666666666666669,1.0,1.0,0.0,1
3392,0.0762600438276114,0.9345794392523364,0.13333333333333333,0.0,0.0,1.0,1.0,0.0,1.0,0.4,0.0,1
4872,0.47100073046019,0.19626168224299068,0.05,1.0,0.0,0.0,1.0,0.16666666666666669,1.0,0.8,0.0,0
6961,0.4606281957633309,0.8317757009345793,0.06666666666666667,0.0,0.0,0.0,0.5,0.0,0.5,0.6000000000000001,0.0,0
4868,0.5148283418553689,0.8598130841121495,0.11666666666666667,0.0,0.0,1.0,0.0,0.6666666666666667,1.0,0.4,1.0,0
3423,0.6544923301680058,0.5467289719626168,0.05,0.0,1.0,0.0,0.5,0.16666666666666669,0.0,0.2,0.0,1
1850,0.3105916727538349,0.5,0.2833333333333333,0.0,0.0,1.0,0.5,0.16666666666666669,1.0,0.2,1.0,1
6704,0.5716581446311176,0.6261682242990655,0.05,0.0,0.0,1.0,1.0,0.16666666666666669,0.5,0.6000000000000001,1.0,1
9964,0.12213294375456538,0.43457943925233644,0.016666666666666666,0.0,0.0,0.0,0.5,0.0,1.0,0.8,0.0,0
2993,0.36479181884587286,0.49065420560747663,0.7499999999999999,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.4,1.0,1
8106,0.4942293644996347,0.7009345794392524,0.06666666666666667,1.0,0.0,0.0,0.5,0.16666666666666669,1.0,0.4,1.0,0
5421,0.4398831263696129,0.23831775700934577,0.06666666666666667,0.0,1.0,0.0,1.0,0.16666666666666669,1.0,0.8,0.0,0
4745,0.629072315558802,0.22429906542056077,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,1.0,0.2,1.0,0
3602,0.44528853177501826,0.24766355140186913,0.1,0.0,0.0,1.0,1.0,0.16666666666666669,1.0,0.2,0.0,1
7521,0.4796201607012418,0.7056074766355139,0.13333333333333333,0.0,1.0,0.0,1.0,0.16666666666666669,0.5,0.0,0.0,1
10937,0.1387874360847334,0.6214953271028038,0.15,0.0,0.0,0.0,0.5,0.49999999999999994,0.5,0.6000000000000001,0.0,0
1480,0.17677136596055512,0.6074766355140188,0.45,0.0,0.0,0.0,0.5,0.16666666666666669,0.5,0.4,0.0,1
2768,0.051278305332359386,0.35046728971962615,0.5499999999999999,0.0,0.0,1.0,0.5,0.16666666666666669,1.0,0.4,1.0,1
7522,0.7225712198685171,0.5467289719626168,0.1,0.0,0.0,0.0,1.0,0.16666666666666669,0.5,0.4,1.0,0
4398,0.5808619430241052,0.5,0.1,1.0,0.0,0.0,1.0,0.16666666666666669,0.0,0.2,1.0,1
2154,0.28356464572680784,0.5373831775700935,0.35,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.2,0.0,1
6172,0.5168736303871438,0.602803738317757,0.11666666666666667,0.0,0.0,0.0,0.5,0.16666666666666669,0.0,0.6000000000000001,1.0,0
8488,0.47333820306793284,0.1728971962616822,0.11666666666666667,0.0,0.0,0.0,1.0,0.0,0.5,0.2,1.0,0
8196,0.6986121256391526,0.46261682242990654,0.08333333333333334,1.0,0.0,0.0,0.5,0.16666666666666669,0.5,0.4,0.0,0
6154,0.6842951059167275,0.2429906542056075,0.1,0.0,0.0,0.0,0.5,0.16666666666666669,0.5,0.2,0.0,0
